"18,60","20,64","18,00","17,74","16,96","17,18","17,00","16,36","17,40","19,00","19,00","18,87","17,80","18,68","19,49","18,59","17,80","19,69","17,40","16,83","17,91","18,20","18,10","18,60","17,40","18,27","19,00"
"18,50","21,00","18,20","17,80","17,00","16,63","17,00","16,11","17,40","19,00","19,00","19,00","17,80","18,81","19,61","18,60","18,03","19,70","17,34","16,60","18,20","18,20","17,80","18,60","17,40","18,20","19,00"
"19,40","21,00","18,20","18,04","17,39","16,95","17,00","16,58","17,40","19,00","19,00","19,00","17,91","18,94","19,87","18,59","18,53","19,83","17,03","16,60","18,10","18,20","17,80","18,60","17,40","18,20","19,19"
"19,40","21,00","18,03","18,20","17,40","17,29","17,00","16,76","17,40","19,00","19,00","19,00","18,20","19,00","20,03","18,38","19,04","19,98","17,09","16,60","17,80","18,20","17,80","18,60","17,40","18,20","19,40"
"19,40","21,40","18,20","18,20","17,40","17,50","17,35","17,00","17,40","19,00","19,00","19,00","18,24","19,04","20,23","18,32","19,40","20,00","17,18","16,60","17,80","18,20","17,80","18,60","17,27","18,20","19,40"
"19,40","21,40","18,20","18,28","17,73","17,80","17,40","17,16","17,59","19,00","19,00","19,00","18,60","19,16","20,43","18,57","19,73","20,01","17,40","16,60","17,80","18,20","17,80","18,60","17,00","18,20","19,40"
"19,40","21,40","18,20","18,60","17,80","17,80","17,52","17,40","17,80","19,00","19,00","19,00","18,69","19,27","20,65","18,60","19,80","20,10","17,40","16,60","18,03","18,20","17,80","18,60","17,00","18,20","19,58"
"19,40","21,40","18,20","18,60","17,80","17,80","17,80","17,43","17,80","19,00","20,20","19,00","19,00","19,36","20,73","18,60","19,91","20,23","17,40","16,60","19,40","18,20","17,80","18,71","17,00","18,20","19,80"
"19,40","21,40","18,20","18,60","17,80","18,14","17,80","17,80","17,80","19,00","20,20","19,00","19,00","19,48","20,81","18,60","20,20","20,32","17,40","16,60","19,17","18,20","17,80","18,98","17,00","18,20","19,80"
"19,40","21,40","18,20","18,97","17,80","18,20","17,80","17,80","17,80","19,00","20,20","19,00","19,39","19,50","20,91","18,60","20,20","20,45","17,40","16,60","19,40","18,20","17,80","19,00","17,00","18,20","19,80"
"19,40","21,40","18,20","19,00","17,91","18,20","18,05","17,98","17,80","19,00","20,20","19,00","19,40","19,60","21,00","18,60","20,57","20,58","17,40","16,60","19,40","18,20","17,80","19,00","17,00","18,20","19,80"
